"Date","Price","Open","High","Low","Vol.","Change %"
"27-04-2025","55,115.35","54,610.30","55,954.15","54,598.65","720.25M","0.83%"
"20-04-2025","54,664.05","54,891.25","56,098.70","54,176.45","1.23B","0.69%"
"13-04-2025","54,290.20","52,299.00","54,407.20","51,863.30","699.21M","6.45%"
"06-04-2025","51,002.35","49,336.10","51,244.70","49,156.95","680.81M","-0.97%"
"30-03-2025","51,502.70","51,178.15","51,893.60","50,742.00","807.00M","-0.12%"
"23-03-2025","51,564.85","50,982.70","52,063.95","50,795.90","1.11B","1.92%"
"16-03-2025","50,593.55","48,219.55","50,672.15","48,196.10","756.70M","5.27%"
"09-03-2025","48,060.40","48,312.00","48,599.15","47,702.90","735.30M","-0.90%"
"02-03-2025","48,497.50","48,478.60","48,839.10","47,841.30","661.56M","0.32%"
"23-02-2025","48,344.70","48,619.80","48,972.55","48,078.70","676.85M","-1.30%"
"16-02-2025","48,981.20","48,880.40","49,628.25","48,525.60","543.14M","-0.24%"
"09-02-2025","49,099.45","50,052.50","50,155.65","48,719.75","611.15M","-2.11%"
"02-02-2025","50,158.85","49,592.55","50,641.75","48,906.05","882.64M","1.15%"
"26-01-2025","49,587.20","47,881.65","49,674.80","47,844.15","1.18B","2.52%"
"19-01-2025","48,367.80","48,834.15","49,650.60","48,074.05","724.01M","-0.36%"
"12-01-2025","48,540.60","48,264.25","49,459.00","47,898.35","743.15M","-0.40%"
"05-01-2025","48,734.15","50,990.65","51,026.10","48,631.20","698.36M","-4.42%"
"29-12-2024","50,988.80","51,255.35","51,979.75","50,485.05","785.34M","-0.63%"
"22-12-2024","51,311.30","51,044.40","51,740.00","50,951.80","392.34M","1.09%"
"15-12-2024","50,759.20","53,502.50","53,738.90","50,609.35","725.65M","-5.27%"
"08-12-2024","53,583.80","53,380.75","53,775.10","52,264.55","584.63M","0.14%"
"01-12-2024","53,509.50","52,087.65","53,888.30","51,693.95","869.62M","2.79%"
"24-11-2024","52,055.60","52,046.35","52,760.20","51,759.45","1.03B","1.80%"
"17-11-2024","51,135.40","50,312.45","51,271.50","49,787.10","785.28M","1.90%"
"10-11-2024","50,179.55","51,562.70","52,177.70","49,904.40","633.05M","-2.68%"
"03-11-2024","51,561.20","51,764.50","52,493.95","50,865.45","1.10B","-0.22%"
"27-10-2024","51,673.90","51,061.35","52,354.85","51,012.55","1.44B","1.75%"
"20-10-2024","50,787.45","52,361.10","52,577.50","50,382.10","1.00B","-2.51%"
